"","source","Feature","Gain","Cover","Frequency","Importance"
"158","xgb6","OSQ010A_9",4.67865435634738e-09,0.00316306290427745,0.00157150340492404,0.00157150340492404
"159","xgb6","MCQ053_1",4.6168026754527e-09,0.00670580162766097,0.00157150340492404,0.00157150340492404
"160","xgb6","HIQ210_1",4.3884768716251e-09,0.000126385095803338,0.000523834468308015,0.000523834468308015
"161","xgb6","MCQ160L_1",4.33968234971151e-09,0.000110560932243118,0.00104766893661603,0.00104766893661603
"162","xgb6","HUQ010_1",4.07456716371121e-09,0.000104106339211975,0.000523834468308015,0.000523834468308015
"163","xgb6","LBXBAPCT",3.66785319827354e-09,0.00308810634004483,0.00157150340492404,0.00157150340492404
"164","xgb6","bp_med_n_class_None",3.391081433124e-09,9.68188954671371e-06,0.000523834468308015,0.000523834468308015
"165","xgb6","BPAARM_1",2.69780669519388e-09,3.85193455084309e-05,0.00104766893661603,0.00104766893661603
"166","xgb6","DSDANCNT",2.42489919951254e-09,0.00150787621714625,0.00104766893661603,0.00104766893661603
"167","xgb6","INDFMMPC_7",1.10577579941794e-09,2.70676481951136e-06,0.000523834468308015,0.000523834468308015
"168","xgb6","BPXDI3",4.29248902801576e-10,0.000289415623009292,0.00104766893661603,0.00104766893661603
"169","xgb6","bp_med_central_No",4.09300418708532e-10,0.000171359034342911,0.00104766893661603,0.00104766893661603
"170","xgb6","bp_med_n_pills_Three",3.0649774517391e-10,3.22729651557124e-06,0.000523834468308015,0.000523834468308015
"171","xgb6","DIQ010_9",1.42162021666121e-10,0.00272769019369297,0.00104766893661603,0.00104766893661603
